a ai b bi ri ro c => R(a) R(b) R(S(a,b)) C(a,b)
a(0) ai(1) b(0) bi(0) ri(0) ro(1) c(1) => R(a)(0) R(b)(1) R(S(a,b))(1) C(a,b)(1)
a(0) ai(1) b(0) bi(0) ri(1) ro(0) c(0) => R(a)(0) R(b)(1) R(S(a,b))(0) C(a,b)(0)
a(0) ai(1) b(0) bi(0) ri(1) ro(0) c(1) => R(a)(0) R(b)(1) R(S(a,b))(0) C(a,b)(1)
a(0) ai(1) b(0) bi(0) ri(1) ro(1) c(0) => R(a)(0) R(b)(1) R(S(a,b))(1) C(a,b)(0)
a(0) ai(1) b(0) bi(0) ri(1) ro(1) c(1) => R(a)(0) R(b)(1) R(S(a,b))(0) C(a,b)(1)
a(0) ai(1) b(0) bi(1) ri(0) ro(0) c(0) => R(a)(0) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(0) ai(1) b(0) bi(1) ri(0) ro(0) c(1) => R(a)(0) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(0) ai(1) b(0) bi(1) ri(0) ro(1) c(0) => R(a)(0) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(0) ai(1) b(0) bi(1) ri(0) ro(1) c(1) => R(a)(0) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(0) ai(1) b(0) bi(1) ri(1) ro(0) c(0) => R(a)(0) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(0) ai(1) b(0) bi(1) ri(1) ro(0) c(1) => R(a)(0) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(0) ai(1) b(0) bi(1) ri(1) ro(1) c(0) => R(a)(0) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(0) ai(1) b(0) bi(1) ri(1) ro(1) c(1) => R(a)(0) R(b)(0) R(S(a,b))(1) C(a,b)(0)
a(0) ai(1) b(1) bi(0) ri(0) ro(0) c(0) => R(a)(0) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(0) ai(1) b(1) bi(0) ri(0) ro(0) c(1) => R(a)(0) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(0) ai(1) b(1) bi(0) ri(0) ro(1) c(0) => R(a)(0) R(b)(0) R(S(a,b))(1) C(a,b)(0)
a(0) ai(1) b(1) bi(0) ri(0) ro(1) c(1) => R(a)(0) R(b)(0) R(S(a,b))(1) C(a,b)(0)
a(0) ai(1) b(1) bi(0) ri(1) ro(0) c(0) => R(a)(0) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(0) ai(1) b(1) bi(0) ri(1) ro(0) c(1) => R(a)(0) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(0) ai(1) b(1) bi(0) ri(1) ro(1) c(0) => R(a)(0) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(0) ai(1) b(1) bi(0) ri(1) ro(1) c(1) => R(a)(0) R(b)(0) R(S(a,b))(1) C(a,b)(0)
a(0) ai(1) b(1) bi(1) ri(0) ro(0) c(0) => R(a)(0) R(b)(1) R(S(a,b))(0) C(a,b)(0)
a(0) ai(1) b(1) bi(1) ri(0) ro(0) c(1) => R(a)(0) R(b)(1) R(S(a,b))(0) C(a,b)(1)
a(0) ai(1) b(1) bi(1) ri(0) ro(1) c(0) => R(a)(0) R(b)(1) R(S(a,b))(1) C(a,b)(0)
a(0) ai(1) b(1) bi(1) ri(0) ro(1) c(1) => R(a)(0) R(b)(1) R(S(a,b))(1) C(a,b)(1)
a(0) ai(1) b(1) bi(1) ri(1) ro(0) c(0) => R(a)(0) R(b)(1) R(S(a,b))(0) C(a,b)(0)
a(0) ai(1) b(1) bi(1) ri(1) ro(0) c(1) => R(a)(0) R(b)(1) R(S(a,b))(0) C(a,b)(1)
a(0) ai(1) b(1) bi(1) ri(1) ro(1) c(0) => R(a)(0) R(b)(1) R(S(a,b))(1) C(a,b)(0)
a(0) ai(1) b(1) bi(1) ri(1) ro(1) c(1) => R(a)(0) R(b)(1) R(S(a,b))(0) C(a,b)(1)
a(1) ai(0) b(0) bi(0) ri(0) ro(0) c(0) => R(a)(0) R(b)(1) R(S(a,b))(0) C(a,b)(0)
a(1) ai(0) b(0) bi(0) ri(0) ro(0) c(1) => R(a)(0) R(b)(1) R(S(a,b))(0) C(a,b)(1)
a(1) ai(0) b(0) bi(0) ri(0) ro(1) c(0) => R(a)(0) R(b)(1) R(S(a,b))(0) C(a,b)(0)
a(1) ai(0) b(0) bi(0) ri(0) ro(1) c(1) => R(a)(0) R(b)(1) R(S(a,b))(0) C(a,b)(1)
a(1) ai(0) b(0) bi(0) ri(1) ro(0) c(0) => R(a)(0) R(b)(1) R(S(a,b))(0) C(a,b)(0)
a(1) ai(0) b(0) bi(0) ri(1) ro(0) c(1) => R(a)(0) R(b)(1) R(S(a,b))(0) C(a,b)(1)
a(1) ai(0) b(0) bi(0) ri(1) ro(1) c(0) => R(a)(0) R(b)(1) R(S(a,b))(1) C(a,b)(0)
a(1) ai(0) b(0) bi(0) ri(1) ro(1) c(1) => R(a)(0) R(b)(1) R(S(a,b))(0) C(a,b)(1)
a(1) ai(0) b(0) bi(1) ri(0) ro(0) c(0) => R(a)(0) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(1) ai(0) b(0) bi(1) ri(0) ro(0) c(1) => R(a)(0) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(1) ai(0) b(0) bi(1) ri(0) ro(1) c(0) => R(a)(0) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(1) ai(0) b(0) bi(1) ri(0) ro(1) c(1) => R(a)(0) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(1) ai(0) b(0) bi(1) ri(1) ro(0) c(0) => R(a)(0) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(1) ai(0) b(0) bi(1) ri(1) ro(0) c(1) => R(a)(0) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(1) ai(0) b(0) bi(1) ri(1) ro(1) c(0) => R(a)(0) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(1) ai(0) b(0) bi(1) ri(1) ro(1) c(1) => R(a)(0) R(b)(0) R(S(a,b))(1) C(a,b)(0)
a(1) ai(0) b(1) bi(0) ri(0) ro(0) c(0) => R(a)(0) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(1) ai(0) b(1) bi(0) ri(0) ro(0) c(1) => R(a)(0) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(1) ai(0) b(1) bi(0) ri(0) ro(1) c(0) => R(a)(0) R(b)(0) R(S(a,b))(1) C(a,b)(0)
a(1) ai(0) b(1) bi(0) ri(0) ro(1) c(1) => R(a)(0) R(b)(0) R(S(a,b))(1) C(a,b)(0)
a(1) ai(0) b(1) bi(0) ri(1) ro(0) c(0) => R(a)(0) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(1) ai(0) b(1) bi(0) ri(1) ro(0) c(1) => R(a)(0) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(1) ai(0) b(1) bi(0) ri(1) ro(1) c(0) => R(a)(0) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(1) ai(0) b(1) bi(0) ri(1) ro(1) c(1) => R(a)(0) R(b)(0) R(S(a,b))(1) C(a,b)(0)
a(1) ai(0) b(1) bi(1) ri(0) ro(0) c(0) => R(a)(0) R(b)(1) R(S(a,b))(0) C(a,b)(0)
a(1) ai(0) b(1) bi(1) ri(0) ro(0) c(1) => R(a)(0) R(b)(1) R(S(a,b))(0) C(a,b)(1)
a(1) ai(0) b(1) bi(1) ri(0) ro(1) c(0) => R(a)(0) R(b)(1) R(S(a,b))(1) C(a,b)(0)
a(1) ai(0) b(1) bi(1) ri(0) ro(1) c(1) => R(a)(0) R(b)(1) R(S(a,b))(1) C(a,b)(1)
a(1) ai(0) b(1) bi(1) ri(1) ro(0) c(0) => R(a)(0) R(b)(1) R(S(a,b))(0) C(a,b)(0)
a(1) ai(0) b(1) bi(1) ri(1) ro(0) c(1) => R(a)(0) R(b)(1) R(S(a,b))(0) C(a,b)(1)
a(1) ai(0) b(1) bi(1) ri(1) ro(1) c(0) => R(a)(0) R(b)(1) R(S(a,b))(1) C(a,b)(0)
a(1) ai(0) b(1) bi(1) ri(1) ro(1) c(1) => R(a)(0) R(b)(1) R(S(a,b))(0) C(a,b)(1)
a(1) ai(1) b(0) bi(0) ri(0) ro(0) c(0) => R(a)(1) R(b)(1) R(S(a,b))(0) C(a,b)(1)
a(1) ai(1) b(0) bi(0) ri(0) ro(0) c(1) => R(a)(1) R(b)(1) R(S(a,b))(0) C(a,b)(1)
a(1) ai(1) b(0) bi(0) ri(0) ro(1) c(0) => R(a)(1) R(b)(1) R(S(a,b))(0) C(a,b)(1)
a(1) ai(1) b(0) bi(0) ri(0) ro(1) c(1) => R(a)(1) R(b)(1) R(S(a,b))(0) C(a,b)(1)
a(1) ai(1) b(0) bi(0) ri(1) ro(0) c(0) => R(a)(1) R(b)(1) R(S(a,b))(0) C(a,b)(1)
a(1) ai(1) b(0) bi(0) ri(1) ro(0) c(1) => R(a)(1) R(b)(1) R(S(a,b))(0) C(a,b)(1)
a(1) ai(1) b(0) bi(0) ri(1) ro(1) c(0) => R(a)(1) R(b)(1) R(S(a,b))(0) C(a,b)(1)
a(1) ai(1) b(0) bi(0) ri(1) ro(1) c(1) => R(a)(1) R(b)(1) R(S(a,b))(1) C(a,b)(1)
a(1) ai(1) b(0) bi(1) ri(0) ro(0) c(0) => R(a)(1) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(1) ai(1) b(0) bi(1) ri(0) ro(0) c(1) => R(a)(1) R(b)(0) R(S(a,b))(0) C(a,b)(1)
a(1) ai(1) b(0) bi(1) ri(0) ro(1) c(0) => R(a)(1) R(b)(0) R(S(a,b))(1) C(a,b)(0)
a(1) ai(1) b(0) bi(1) ri(0) ro(1) c(1) => R(a)(1) R(b)(0) R(S(a,b))(1) C(a,b)(1)
a(1) ai(1) b(0) bi(1) ri(1) ro(0) c(0) => R(a)(1) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(1) ai(1) b(0) bi(1) ri(1) ro(0) c(1) => R(a)(1) R(b)(0) R(S(a,b))(0) C(a,b)(1)
a(1) ai(1) b(0) bi(1) ri(1) ro(1) c(0) => R(a)(1) R(b)(0) R(S(a,b))(1) C(a,b)(0)
a(1) ai(1) b(0) bi(1) ri(1) ro(1) c(1) => R(a)(1) R(b)(0) R(S(a,b))(0) C(a,b)(1)
a(1) ai(1) b(1) bi(0) ri(0) ro(0) c(0) => R(a)(1) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(1) ai(1) b(1) bi(0) ri(0) ro(0) c(1) => R(a)(1) R(b)(0) R(S(a,b))(0) C(a,b)(1)
a(1) ai(1) b(1) bi(0) ri(0) ro(1) c(0) => R(a)(1) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(1) ai(1) b(1) bi(0) ri(0) ro(1) c(1) => R(a)(1) R(b)(0) R(S(a,b))(0) C(a,b)(1)
a(1) ai(1) b(1) bi(0) ri(1) ro(0) c(0) => R(a)(1) R(b)(0) R(S(a,b))(0) C(a,b)(0)
a(1) ai(1) b(1) bi(0) ri(1) ro(0) c(1) => R(a)(1) R(b)(0) R(S(a,b))(0) C(a,b)(1)
a(1) ai(1) b(1) bi(0) ri(1) ro(1) c(0) => R(a)(1) R(b)(0) R(S(a,b))(1) C(a,b)(0)
a(1) ai(1) b(1) bi(0) ri(1) ro(1) c(1) => R(a)(1) R(b)(0) R(S(a,b))(0) C(a,b)(1)
a(1) ai(1) b(1) bi(1) ri(0) ro(0) c(0) => R(a)(1) R(b)(1) R(S(a,b))(0) C(a,b)(1)
a(1) ai(1) b(1) bi(1) ri(0) ro(0) c(1) => R(a)(1) R(b)(1) R(S(a,b))(0) C(a,b)(1)
a(1) ai(1) b(1) bi(1) ri(0) ro(1) c(0) => R(a)(1) R(b)(1) R(S(a,b))(0) C(a,b)(1)
a(1) ai(1) b(1) bi(1) ri(0) ro(1) c(1) => R(a)(1) R(b)(1) R(S(a,b))(0) C(a,b)(1)
a(1) ai(1) b(1) bi(1) ri(1) ro(0) c(0) => R(a)(1) R(b)(1) R(S(a,b))(0) C(a,b)(1)
a(1) ai(1) b(1) bi(1) ri(1) ro(0) c(1) => R(a)(1) R(b)(1) R(S(a,b))(0) C(a,b)(1)
a(1) ai(1) b(1) bi(1) ri(1) ro(1) c(0) => R(a)(1) R(b)(1) R(S(a,b))(0) C(a,b)(1)
a(1) ai(1) b(1) bi(1) ri(1) ro(1) c(1) => R(a)(1) R(b)(1) R(S(a,b))(1) C(a,b)(1)
